#timestamp x y z qx qy qz qw
1687424615.076456 -4.258229 -3.426508 0.201082 -0.005212 0.713274 -0.700704 0.015060
1687424616.111437 -4.130955 -3.664918 0.199367 -0.060160 0.714548 -0.693935 0.065250
1687424617.142940 -4.096141 -3.954448 0.194040 -0.044665 0.714622 -0.696474 0.047379
1687424618.274308 -4.042764 -4.273599 0.193152 -0.042234 0.712996 -0.698215 0.048465
1687424620.603514 -3.831206 -5.020978 -0.118609 0.255378 -0.640775 0.657570 -0.302970
1687424621.769692 -3.542109 -5.119526 -0.100507 0.349271 -0.590103 0.613774 -0.391240
1687424622.774193 -3.277665 -5.127862 -0.091780 0.424041 -0.537165 0.565144 -0.460711
1687424623.873632 -3.014291 -5.053445 -0.070586 -0.499279 0.471405 -0.498960 0.528712
1687424624.973071 -2.738291 -4.935329 -0.057407 -0.559304 0.402999 -0.430662 0.582496
1687424626.005871 -2.480392 -4.799011 -0.037259 -0.581670 0.370214 -0.399292 0.604291
1687424627.071977 -2.229512 -4.605141 -0.021002 -0.610348 0.327553 -0.355100 0.627764
1687424628.171388 -2.000152 -4.372884 -0.013854 -0.636596 0.283804 -0.307147 0.647967
1687424629.284074 -1.754634 -4.154141 0.000536 -0.639420 0.278959 -0.302570 0.649443
1687424630.332292 -1.493216 -3.918819 0.013670 -0.637687 0.276354 -0.303390 0.651873
1687424631.435246 -1.183036 -3.617102 0.030128 -0.640247 0.275588 -0.301436 0.650593
1687424632.566402 -0.820115 -3.303519 0.054138 -0.633749 0.284845 -0.310880 0.648521
1687424633.697611 -0.420370 -3.040136 0.071873 -0.613009 0.332919 -0.354979 0.622395
1687424634.828923 0.015589 -2.852841 0.085005 -0.581147 0.378958 -0.399613 0.599139
1687424635.926920 0.453671 -2.735185 0.106312 -0.552481 0.417026 -0.435542 0.575463
1687424636.991630 0.893125 -2.666952 0.137969 -0.516194 0.450722 -0.474441 0.552539
1687424638.023123 1.398117 -2.580153 0.168571 -0.518498 0.455531 -0.477041 0.544135
1687424639.121238 1.831688 -2.411227 0.199109 -0.563106 0.395752 -0.422026 0.590073
1687424640.152738 2.086336 -2.144192 0.212800 -0.627436 0.300216 -0.327681 0.639390
1687424641.184216 2.152435 -1.863815 0.219340 -0.678109 0.169693 -0.200683 0.686367
1687424642.215667 2.070792 -1.566153 0.214289 -0.709338 -0.002098 -0.025299 0.704411
1687424643.247141 1.879879 -1.234102 0.201790 -0.703639 -0.145680 0.123622 0.684388
1687424644.311830 1.585786 -0.924176 0.191179 -0.681435 -0.231319 0.210199 0.661781
1687424645.382057 1.270064 -0.636259 0.168885 -0.669489 -0.273354 0.254096 0.642260
1687424646.489412 0.941788 -0.320004 0.150949 -0.666213 -0.278931 0.261546 0.640275
1687424647.591410 0.532413 -0.157252 0.122214 -0.623432 -0.373417 0.353668 0.588907
1687424648.658881 0.111001 -0.091184 0.101586 -0.567127 -0.450627 0.435513 0.534444
1687424649.692970 -0.274759 -0.155958 0.087440 0.524203 0.499598 -0.488458 -0.486850
1687424650.760418 -0.559134 -0.194746 0.050800 0.478729 0.544602 -0.533902 -0.434944
